FATAL  | wrapper  | 2018/12/20 16:46:47 | OpenSCManager failed - 拒绝访问。 (0x5)
STATUS | wrapper  | 2018/12/20 16:46:58 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/12/20 16:46:58 | Launching a JVM...
INFO   | jvm 1    | 2018/12/20 16:46:59 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/12/20 16:46:59 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/12/20 16:46:59 | 
INFO   | jvm 1    | 2018/12/20 16:46:59 | 
INFO   | jvm 1    | 2018/12/20 16:46:59 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2018/12/20 16:46:59 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2018/12/20 16:46:59 |           could not be loaded:
INFO   | jvm 1    | 2018/12/20 16:46:59 |             D:\GT2\AsStudent\GraduationDesign\AndroidDisk\alfresco-jlan-master\alfresco-jlan\service\windows\.\wrapper.dll
INFO   | jvm 1    | 2018/12/20 16:46:59 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2018/12/20 16:46:59 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2018/12/20 16:46:59 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2018/12/20 16:46:59 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2018/12/20 16:46:59 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2018/12/20 16:46:59 |           Reported cause:
INFO   | jvm 1    | 2018/12/20 16:46:59 |             D:\GT2\AsStudent\GraduationDesign\AndroidDisk\alfresco-jlan-master\alfresco-jlan\service\windows\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2018/12/20 16:46:59 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2018/12/20 16:46:59 | 
INFO   | jvm 1    | 2018/12/20 16:46:59 | %% Failed to load server configuration
INFO   | jvm 1    | 2018/12/20 16:46:59 | java.io.FileNotFoundException: C:\Users\CJT\jlanserver.xml (系统找不到指定的文件。)
INFO   | jvm 1    | 2018/12/20 16:46:59 | 	at java.base/java.io.FileInputStream.open0(Native Method)
INFO   | jvm 1    | 2018/12/20 16:46:59 | 	at java.base/java.io.FileInputStream.open(Unknown Source)
INFO   | jvm 1    | 2018/12/20 16:46:59 | 	at java.base/java.io.FileInputStream.<init>(Unknown Source)
INFO   | jvm 1    | 2018/12/20 16:46:59 | 	at java.base/java.io.FileInputStream.<init>(Unknown Source)
INFO   | jvm 1    | 2018/12/20 16:46:59 | 	at org.alfresco.jlan.app.CifsOnlyXMLServerConfiguration.loadConfiguration(CifsOnlyXMLServerConfiguration.java:172)
INFO   | jvm 1    | 2018/12/20 16:46:59 | 	at org.alfresco.jlan.app.JLANServerService.start(JLANServerService.java:96)
INFO   | jvm 1    | 2018/12/20 16:46:59 | 	at org.tanukisoftware.wrapper.WrapperManager$12.run(WrapperManager.java:2788)
STATUS | wrapper  | 2018/12/20 16:47:01 | <-- Wrapper Stopped
FATAL  | wrapper  | 2018/12/20 16:51:17 | OpenSCManager failed - 拒绝访问。 (0x5)
FATAL  | wrapper  | 2018/12/20 16:51:23 | OpenSCManager failed - 拒绝访问。 (0x5)
STATUS | wrapper  | 2018/12/20 16:51:27 | --> Wrapper Started as Console
STATUS | wrapper  | 2018/12/20 16:51:27 | Launching a JVM...
INFO   | jvm 1    | 2018/12/20 16:51:27 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/12/20 16:51:27 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/12/20 16:51:27 | 
INFO   | jvm 1    | 2018/12/20 16:51:27 | 
INFO   | jvm 1    | 2018/12/20 16:51:27 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2018/12/20 16:51:27 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2018/12/20 16:51:27 |           could not be loaded:
INFO   | jvm 1    | 2018/12/20 16:51:27 |             D:\GT2\AsStudent\GraduationDesign\AndroidDisk\alfresco-jlan-master\alfresco-jlan\service\windows\.\wrapper.dll
INFO   | jvm 1    | 2018/12/20 16:51:27 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2018/12/20 16:51:27 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2018/12/20 16:51:27 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2018/12/20 16:51:27 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2018/12/20 16:51:27 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2018/12/20 16:51:27 |           Reported cause:
INFO   | jvm 1    | 2018/12/20 16:51:27 |             D:\GT2\AsStudent\GraduationDesign\AndroidDisk\alfresco-jlan-master\alfresco-jlan\service\windows\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2018/12/20 16:51:27 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2018/12/20 16:51:27 | 
INFO   | jvm 1    | 2018/12/20 16:51:27 | %% Failed to load server configuration
INFO   | jvm 1    | 2018/12/20 16:51:27 | java.io.FileNotFoundException: C:\Users\CJT\jlanserver.xml (系统找不到指定的文件。)
INFO   | jvm 1    | 2018/12/20 16:51:27 | 	at java.base/java.io.FileInputStream.open0(Native Method)
INFO   | jvm 1    | 2018/12/20 16:51:27 | 	at java.base/java.io.FileInputStream.open(Unknown Source)
INFO   | jvm 1    | 2018/12/20 16:51:27 | 	at java.base/java.io.FileInputStream.<init>(Unknown Source)
INFO   | jvm 1    | 2018/12/20 16:51:27 | 	at java.base/java.io.FileInputStream.<init>(Unknown Source)
INFO   | jvm 1    | 2018/12/20 16:51:27 | 	at org.alfresco.jlan.app.CifsOnlyXMLServerConfiguration.loadConfiguration(CifsOnlyXMLServerConfiguration.java:172)
INFO   | jvm 1    | 2018/12/20 16:51:27 | 	at org.alfresco.jlan.app.JLANServerService.start(JLANServerService.java:96)
INFO   | jvm 1    | 2018/12/20 16:51:27 | 	at org.tanukisoftware.wrapper.WrapperManager$12.run(WrapperManager.java:2788)
STATUS | wrapper  | 2018/12/20 16:51:29 | <-- Wrapper Stopped
